Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
56,2.0,0.0,0.0,1472.0,16.0,56.0,4020.0,0.1,40.305,0.0,0.0,610.2716116905212,,,,,,,,,,,,,,,,,,,,,15.514417596241382,13.406577477292073,39.51518346635974,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1516.0,17.0,44.0,4064.0,0.1,25.305000000000017,0.0,0.0,614.4687123298645,,,,,,,,,,,,,,,,,,,,,8.568070608864069,8.371607947048664,24.97793578684789,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1544.0,18.0,28.0,4092.0,0.1,11.305999999999994,0.0,0.0,617.358051776886,,,,,,,,,,,,,,,,,,,,,3.16191298683362,3.786039028433977,11.239935066566728,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1647.0,19.0,103.0,4195.0,0.1,74.106,0.0,0.0,626.9277780056,,,,,,,,,,,,,,,,,,,,,33.29444059206845,22.15275451471135,70.81823827733334,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1756.0,20.0,109.0,4304.0,0.1,56.40500000000003,0.0,0.0,636.7626967430115,,,,,,,,,,,,,,,,,,,,,25.035514573735718,15.416935952876594,53.78364241264572,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,275.0,1.0,275.0,4579.0,0.1,170.21299999999982,0.0,0.0,1062.5316712856293,,,,,,,,,,,,,,,,,,,,,74.28391961641239,41.02215893315073,150.08494190435343,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,413.0,2.0,138.0,4717.0,0.1,88.40599999999995,0.0,0.0,1074.734048128128,,,,,,,,,,,,,,,,,,,,,36.057956413519264,25.423232146835325,83.59711264310792,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,643.0,3.0,230.0,4947.0,0.1,102.42499999999998,0.0,0.0,1094.8214497566223,,,,,,,,,,,,,,,,,,,,,53.13413901752889,27.391844907903288,90.3848272957326,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,717.0,4.0,74.0,5021.0,0.1,49.907,0.0,0.0,1101.5981872081757,,,,,,,,,,,,,,,,,,,,,19.458372815992163,15.862292030203342,48.56416016779198,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,741.0,5.0,24.0,5045.0,0.1,11.104999999999995,0.0,0.0,1104.028035402298,,,,,,,,,,,,,,,,,,,,,3.4028247954421196,3.8883607623069705,11.045411983464335,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
